Ship,Flag
HMS Raglan,Royal Navy
Refah,Turkey
Sakarya,Unknown
U-20,Kriegsmarine
Uluburun shipwreck,Unknown
Kashii,Imperial Japanese Navy
Nokaze,Imperial Japanese Navy
HMS Phoenix,Royal Navy
HMS Basilisk,Royal Navy
HMS Brilliant,Royal Navy
Z8 Bruno Heinemann,Kriegsmarine
SS Empire Blessing,United Kingdom
HMS Grafton,Royal Navy
MS Herald of Free Enterprise,United Kingdom
HMS LST-420,Royal Navy
U-5,Imperial German Navy
U-11,Imperial German Navy
UB-10,Imperial German Navy
UB-59,Imperial German Navy
UC-3,Imperial German Navy
UC-62,Imperial German Navy
UC-77,Imperial German Navy
't Vliegend Hert,Dutch East India Company
SS Mopang,United States
SS Rodina,Bulgaria
SS American Star,Greece
El Condesito,Spain
The Telamon (Temple Hall),Greece
Sémillante,French Navy
Audace,Regia Marina
Baron Gautsch,Austria-Hungary
Cesare Rossarol,Regia Marina
Giuseppe Garibaldi,Regia Marina
SMS Niobe,Kriegsmarine
SMS Szent István,Austria-Hungary
UB-129,Imperial German Navy
SMS Viribus Unitis,Austria-Hungary
Constandis,Russia
Alexander Nevsky,Imperial Russian Navy
HMS Black Prince,Royal Navy
Dannebroge,Royal Danish Navy
HMS Defence,Royal Navy
SMS Elbing,Imperial German Navy
SMS Frauenlob,Imperial German Navy
Freja af Stockholm,Sweden
MV Fu Shan Hai,People's Republic of China
HMS Indefatigable,Royal Navy
HMS Invincible,Royal Navy
Kolding cog,Unknown
SMS Lützow,Imperial German Navy
HMS Pandora,Royal Navy
SMS Pommern,Imperial German Navy
HMS Queen Mary,Royal Navy
HMS St George,Royal Navy
U-235,Kriegsmarine
U-579,Kriegsmarine
HMS Warrior,Royal Navy
MS Estonia,Estonia
Maasilinn Wreck,Unknown
U-679,Kriegsmarine
Lincoln City,United Kingdom
SS Sauternes,United Kingdom
Tjaldur,Denmark
Föglö wreck,Unknown
Hanneke Vrome,Free City of Lübeck
Sankt Nikolai,Imperial Russian Navy
Vrouw Maria,Dutch Republic
SS Cap Arcona,Nazi Germany
Fides,Italy
Hugo Zeye,Kriegsmarine
Ondo,United Kingdom
Preußen,Nazi Germany
SMS Seeadler,Imperial German Navy
U-8,Kriegsmarine
U-60,Kriegsmarine
U-61,Kriegsmarine
U-103,Kriegsmarine
U-236,Kriegsmarine
U-237,Kriegsmarine
U-276,Kriegsmarine
U-287,Kriegsmarine
U-316,Kriegsmarine
U-323,Kriegsmarine
U-339,Kriegsmarine
U-345,Kriegsmarine
U-348,Kriegsmarine
U-350,Kriegsmarine
U-777,Kriegsmarine
U-870,Kriegsmarine
U-979,Kriegsmarine
U-1221,Kriegsmarine
RFA Bedenham,Royal Navy
MV Fedra,Liberia
MV New Flame,Panama
HMS Sussex,Royal Navy
Antikythera wreck,Unknown
Bartolomeo Colleoni,Regia Marina
HMHS Britannic,Royal Navy
Dimitrios shipwreck,Greece
Dokos shipwreck,Unknown
HMS Dulverton,Royal Navy
Elli,Hellenic Navy
MS Express Samina,Greece
HMS Gloucester,Royal Navy
HMS Greyhound,Royal Navy
HMS Hereward,Royal Navy
HMS Hurworth,Royal Navy
Hydra,Hellenic Navy
HMS Intrepid,Royal Navy
MV Jupiter,Greece
HMS Kashmir,Royal Navy
HMS Kelly,Royal Navy
HMS M28,Royal Navy
