line_index,Player,gender
935,ROMEO,Male
936,JULIET,Female
937,JULIET,Female
938,JULIET,Female
939,JULIET,Female
940,JULIET,Female
941,JULIET,Female
942,JULIET,Female
943,JULIET,Female
944,ROMEO,Male
945,ROMEO,Male
946,ROMEO,Male
947,JULIET,Female
948,JULIET,Female
949,JULIET,Female
950,JULIET,Female
951,JULIET,Female
952,JULIET,Female
953,JULIET,Female
954,Nurse,Female
955,JULIET,Female
956,JULIET,Female
957,Nurse,Female
958,JULIET,Female
959,JULIET,Female
960,JULIET,Female
961,ROMEO,Male
962,JULIET,Female
963,ROMEO,Male
964,ROMEO,Male
965,ROMEO,Male
966,ROMEO,Male
967,JULIET,Female
968,JULIET,Female
969,JULIET,Female
970,JULIET,Female
971,JULIET,Female
972,JULIET,Female
973,ROMEO,Male
974,ROMEO,Male
975,ROMEO,Male
976,JULIET,Female
977,ROMEO,Male
978,JULIET,Female
979,JULIET,Female
980,ROMEO,Male
981,JULIET,Female
982,JULIET,Female
983,ROMEO,Male
984,JULIET,Female
985,JULIET,Female
986,ROMEO,Male
987,ROMEO,Male
988,JULIET,Female
989,JULIET,Female
990,JULIET,Female
991,JULIET,Female
992,JULIET,Female
993,JULIET,Female
994,ROMEO,Male
995,JULIET,Female
996,JULIET,Female
997,JULIET,Female
998,JULIET,Female
999,JULIET,Female
1000,ROMEO,Male
1001,ROMEO,Male
1002,ROMEO,Male
1003,ROMEO,Male
1004,FRIAR LAURENCE,Male
1005,FRIAR LAURENCE,Male
1006,FRIAR LAURENCE,Male
1007,FRIAR LAURENCE,Male
1008,FRIAR LAURENCE,Male
1009,FRIAR LAURENCE,Male
1010,FRIAR LAURENCE,Male
1011,FRIAR LAURENCE,Male
1012,FRIAR LAURENCE,Male
1013,FRIAR LAURENCE,Male
1014,FRIAR LAURENCE,Male
1015,FRIAR LAURENCE,Male
1016,FRIAR LAURENCE,Male
1017,FRIAR LAURENCE,Male
1018,FRIAR LAURENCE,Male
1019,FRIAR LAURENCE,Male
1020,FRIAR LAURENCE,Male
1021,FRIAR LAURENCE,Male
1022,FRIAR LAURENCE,Male
1023,FRIAR LAURENCE,Male
1024,FRIAR LAURENCE,Male
1025,FRIAR LAURENCE,Male
1026,FRIAR LAURENCE,Male
1027,FRIAR LAURENCE,Male
1028,FRIAR LAURENCE,Male
1029,FRIAR LAURENCE,Male
1030,FRIAR LAURENCE,Male
1031,FRIAR LAURENCE,Male
1032,FRIAR LAURENCE,Male
1033,FRIAR LAURENCE,Male
1034,ROMEO,Male
1035,FRIAR LAURENCE,Male
1036,FRIAR LAURENCE,Male
1037,FRIAR LAURENCE,Male
1038,FRIAR LAURENCE,Male
1039,FRIAR LAURENCE,Male
1040,FRIAR LAURENCE,Male
1041,FRIAR LAURENCE,Male
1042,FRIAR LAURENCE,Male
1043,FRIAR LAURENCE,Male
1044,FRIAR LAURENCE,Male
1045,FRIAR LAURENCE,Male
1046,FRIAR LAURENCE,Male
1047,ROMEO,Male
1048,FRIAR LAURENCE,Male
1049,ROMEO,Male
1050,ROMEO,Male
1051,FRIAR LAURENCE,Male
1052,ROMEO,Male
1053,ROMEO,Male
1054,ROMEO,Male
1055,ROMEO,Male
1056,ROMEO,Male
1057,ROMEO,Male
1058,ROMEO,Male
1059,FRIAR LAURENCE,Male
1060,FRIAR LAURENCE,Male
1061,ROMEO,Male
1062,ROMEO,Male
1063,ROMEO,Male
1064,ROMEO,Male
1065,ROMEO,Male
1066,ROMEO,Male
1067,ROMEO,Male
1068,ROMEO,Male
1069,FRIAR LAURENCE,Male
1070,FRIAR LAURENCE,Male
1071,FRIAR LAURENCE,Male
1072,FRIAR LAURENCE,Male
1073,FRIAR LAURENCE,Male
1074,FRIAR LAURENCE,Male
1075,FRIAR LAURENCE,Male
1076,FRIAR LAURENCE,Male
1077,FRIAR LAURENCE,Male
1078,FRIAR LAURENCE,Male
1079,FRIAR LAURENCE,Male
1080,FRIAR LAURENCE,Male
1081,FRIAR LAURENCE,Male
1082,FRIAR LAURENCE,Male
1083,FRIAR LAURENCE,Male
1084,FRIAR LAURENCE,Male
1085,ROMEO,Male
1086,FRIAR LAURENCE,Male
1087,ROMEO,Male
1088,FRIAR LAURENCE,Male
1089,FRIAR LAURENCE,Male
1090,ROMEO,Male
1091,ROMEO,Male
1092,ROMEO,Male
1093,FRIAR LAURENCE,Male
1094,FRIAR LAURENCE,Male
1095,FRIAR LAURENCE,Male
1096,FRIAR LAURENCE,Male
1097,FRIAR LAURENCE,Male
1098,FRIAR LAURENCE,Male
1099,ROMEO,Male
1100,FRIAR LAURENCE,Male
1101,MERCUTIO,Male
1102,MERCUTIO,Male
1103,BENVOLIO,Male
1104,MERCUTIO,Male
1105,MERCUTIO,Male
1106,BENVOLIO,Male
1107,BENVOLIO,Male
